TIME,Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,United Kingdom of Great Britain and Northern Ireland
2004,16.7,18.4,15.0,12.0,23.5,20.0,17.5,12.0,3.0,26.5,11.5,,24.2,41.1,13.5,9.1,15.6,,12.5,24.0,7.7,12.4,6.9
2005,16.2,18.6,14.8,11.3,19.6,18.3,17.1,11.4,3.4,25.2,10.8,,24.4,39.4,10.5,9.4,15.5,,12.6,23.6,7.3,13.1,6.7
2006,14.7,17.7,13.1,11.6,17.3,19.6,16.5,10.7,3.3,23.4,10.6,5.6,21.1,31.2,13.5,9.1,14.8,,,24.6,6.9,12.7,6.7
2007,14.6,16.7,12.7,10.3,18.2,18.2,15.8,10.2,2.8,23.3,10.4,5.7,19.9,31.0,16.2,8.0,13.4,8.9,,19.9,6.7,11.9,6.3
2008,14.1,17.9,12.6,10.7,17.3,19.0,16.1,10.3,3.1,23.4,11.5,5.8,23.1,33.7,8.4,8.4,14.4,9.0,10.7,18.6,7.0,12.2,6.9
2009,14.1,17.9,13.2,10.8,19.3,18.9,16.2,10.3,3.2,23.3,11.7,5.9,23.1,34.5,9.3,8.9,16.3,8.9,10.8,20.0,6.9,12.9,6.8
2010,13.9,17.8,13.5,9.8,15.9,17.3,15.9,10.8,3.1,23.4,11.0,5.8,19.7,31.6,10.3,9.2,15.9,9.3,11.3,18.6,6.3,11.7,6.7
2011,14.1,18.1,14.3,10.2,15.3,16.4,15.8,10.8,3.9,22.8,12.2,6.2,19.9,32.2,10.4,9.5,15.3,8.6,,19.3,6.3,11.4,6.9
2012,13.7,17.4,14.7,11.3,16.6,15.6,14.6,10.5,4.2,22.0,12.1,6.3,20.5,29.5,9.4,10.0,15.8,9.0,10.2,19.3,6.9,11.6,6.9
2013,13.6,16.2,14.2,10.3,15.3,15.8,14.3,10.8,4.5,19.4,10.9,,17.8,34.8,7.3,10.5,15.5,8.7,10.9,19.6,7.5,12.3,7.5
2014,13.9,16.1,13.3,10.6,17.5,14.1,,10.8,4.7,17.8,,,18.1,29.8,11.8,10.4,14.8,10.0,9.7,16.9,7.6,11.4,
